"","period","east","west"
"1",1,-0.638474719502034,-0.967466404066414
"2",2,-0.319998047908608,-0.682822925794362
"3",3,-0.471990488640628,-0.597832698500296
"4",4,-0.697494493153975,-0.986658003021789
"5",5,NA,-0.965272850569852
"6",6,NA,NA
"7",7,-0.373730276513341,NA
"8",8,0.0704969455778131,-0.93968804024177
"9",9,-0.259215759240931,NA
"10",10,-0.161178309428132,1.42187171276144
"11",11,0.0628593805096233,-0.647646304267677
"12",12,1.25145054837161,1.42763477603877
"13",13,1.29842157354098,-0.269381962762359
"14",14,2.37282869569601,1.17200602810761
"15",15,2.65164633149786,-0.165658788607654
"16",16,4.8961553494123,-0.814779127589362
"17",17,0.731586952730163,-0.916157193642287
"18",18,-0.597045824882149,-0.126856821393015
"19",19,-0.693871545621629,-0.649385193948588
"20",20,-0.622541094172276,-0.246026600442601
"21",21,1.18255089888146,1.23083314460631
"22",22,1.94017287427067,0.346021464837649
"23",23,0.681105585154455,2.42264260691654
"24",24,0.58290167559017,0.502114731653
"25",25,-0.355094128159453,0.734061078379464
"26",26,-0.288637520316115,0.247614666702793
"27",27,-0.325860858273452,1.59261392865474
"28",28,-0.362090333596917,0.736366303690396
"29",29,0.942986920417586,0.436022964801587
"30",30,-0.0188353936135148,2.55685218639437
"31",31,1.1466910621238,2.25101299892691
"32",32,0.563949743295963,1.77932202337974
"33",33,-0.0139579270599677,-0.232629970997234
"34",34,-0.357165083302943,0.547772550614166
"35",35,0.0631188618869399,0.684594452892449
"36",36,-0.39199923423895,1.01905951349005
"37",37,-0.425198162910357,0.221866336932241
"38",38,-0.367517411082871,1.01811429134699
"39",39,-0.212619268512408,0.858782541914894
"40",40,-0.575095169123669,1.96333643441097
"41",41,-0.6769220262203,-0.243733339968922
"42",42,-0.618477517885995,-0.493291927133237
"43",43,-0.559276596857437,-0.763449975769811
"44",44,-0.497013305989037,-0.475113351065365
"45",45,-0.641125835838204,-0.556534068578661
"46",46,-0.434040113239299,-0.820733628262756
"47",47,-0.351047687435826,-0.695314215887511
"48",48,-0.498117325811394,-0.642960076343204
"49",49,-0.582923673318563,-0.979391358529542
"50",50,-0.273993958060374,-0.912316480883761
"51",51,-0.579888230791462,-0.827896577498802
"52",52,-0.514942000399108,-0.567302422107238
"53",53,-0.429202988696113,-0.0807722565697898
"54",54,-0.483605952181834,-0.884581988129049
"55",55,0.203552141640758,-0.169786657460275
"56",56,-0.651407173429998,-0.912148973162206
"57",57,-0.43297281247977,-0.88805976749087
"58",58,-0.649683825414612,-0.918259016719902
"59",59,-0.664934476175773,-0.905169484764054
"60",60,-0.657646966173208,-0.961021345065607
"61",61,-0.626683004459256,-0.622631817848701
"62",62,-0.657977437738659,-0.741550335315953
"63",63,-0.630981582747634,-0.900234787052606
